malloc , memalloc
0.000243 , 0.000039
0.000111 , 0.000038
0.000042 , 0.000038
0.000048 , 0.000038
0.000053 , 0.000038
0.000062 , 0.000038
0.000053 , 0.000038
0.000046 , 0.000038
0.000043 , 0.000038
0.000048 , 0.000038
0.000052 , 0.000038
0.000058 , 0.000038
0.000049 , 0.000038
0.000047 , 0.000038
0.000057 , 0.000038
0.000050 , 0.000038
0.000046 , 0.000038
0.000053 , 0.000038
0.000060 , 0.000038
0.000069 , 0.000038
0.000063 , 0.000038
0.000055 , 0.000038
0.000058 , 0.000038
0.000056 , 0.000038
0.000046 , 0.000038
0.000054 , 0.000038
0.000060 , 0.000038
0.000047 , 0.000038
0.000078 , 0.000038
0.000051 , 0.000038
0.000063 , 0.000038
0.000063 , 0.000040
0.000052 , 0.000038
0.000079 , 0.000038
0.000057 , 0.000038
0.000052 , 0.000039
0.000079 , 0.000038
0.000056 , 0.000038
0.000074 , 0.000039
0.000063 , 0.000038
0.000058 , 0.000038
0.000070 , 0.000038
0.000074 , 0.000038
0.000058 , 0.000038
0.000066 , 0.000038
0.000057 , 0.000038
0.000083 , 0.000039
0.000087 , 0.000039
0.000069 , 0.000039
0.000071 , 0.000048
0.000088 , 0.000039
0.000073 , 0.000038
0.000073 , 0.000059
0.000077 , 0.000039
0.000100 , 0.000046
0.000113 , 0.000039
0.000077 , 0.000040
0.000101 , 0.000038
0.000076 , 0.000039
0.000079 , 0.000038
0.000092 , 0.000038
0.000075 , 0.000038
0.000075 , 0.000038
0.000085 , 0.000038
0.000074 , 0.000039
0.000074 , 0.000038
0.000091 , 0.000042
0.000071 , 0.000038
0.000074 , 0.000038
0.000073 , 0.000038
0.000094 , 0.000038
0.000080 , 0.000058
0.000087 , 0.000043
0.000106 , 0.000038
0.000098 , 0.000038
0.000095 , 0.000038
0.000094 , 0.000038
0.000078 , 0.000038
0.000085 , 0.000038
0.000107 , 0.000040
0.000081 , 0.000039
0.000102 , 0.000039
0.000107 , 0.000039
0.000100 , 0.000038
0.000102 , 0.000039
0.000087 , 0.000038
0.000113 , 0.000051
0.000109 , 0.000038
0.000098 , 0.000039
0.000117 , 0.000038
0.000110 , 0.000038
0.000131 , 0.000038
0.000154 , 0.000055
0.000175 , 0.000045
0.000129 , 0.000054
0.000155 , 0.000041
0.000112 , 0.000040
0.000142 , 0.000049
0.000124 , 0.000039
